"Title
All rights reserved. The book tags, ratings, classifications, and content-flagging methodology developed by RatedBooks.org constitute proprietary intellectual property. No person or organization may copy, scrape, extract, reproduce, adapt, aggregate, commercialize, or use this data for resale, subscription products, district-level services, or derivative works without the prior written permission of RatedBooks.org. Unauthorized commercial use is strictly prohibited and may result in legal action.",Author,Rating
Where I End and You Begin,Preston Norton,3
Welcome to St. Hell: My Trans Teen Misadventure,Lewis Hancox,3
"Wait, WHAT?",Heather Corinna and Isabella Rotman,3
Two Boys Kissing,David Levithan,3
"Trans+: Love, Sex, Romance, and Being You",Kathryn Gonzalez and Karen Rayne,3
Traffick,Ellen Hopkins,3
To All the Boys I've Loved Before,Jenny Han,3
The You I've Never Known,Ellen Hopkins,3
The Truth About Alice,Jennifer Mathieu,3
The Squad: A Graphic Novel ,Maggie Tokuda-Hall,3
The Porcupine of Truth,Bill Konigsberg,3
The Poet X,Elizabeth Acevedo,3
The Opposite of Innocent,Sonya Sones,3
